                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.0508,                0.61834,                  0.866,                0.98071,                0.94541,                0.95053,                0.61931,                 1.0821,                0.57047,                0.91432,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.0669,                0.63626,                0.86893,                0.98761,                      1,                  0.995,                0.64596,                 1.0948,                0.59932,                0.91461,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.0745,                0.62244,                0.86723,                0.98675,                0.99883,                0.99478,                0.61966,                 1.2492,                0.61678,                0.93085,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.1123,                0.62634,                0.87835,                0.98541,                0.99561,                0.99496,                0.64943,                 1.0411,                0.56365,                0.90924,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.1108,                0.61051,                0.88142,                0.98877,                0.99561,                0.99496,                0.61862,                 1.1971,                0.57965,                0.92276,               0.000458,               0.000458,               0.000458
                     66,                 1.1498,                0.61634,                0.89412,                0.98758,                 0.9893,                  0.995,                0.64336,                 1.1355,                 0.5775,                0.92234,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.0825,                0.61913,                0.87802,                0.97762,                0.98831,                  0.995,                0.64162,                 1.2046,                0.59711,                0.92287,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.0572,                0.61512,                0.86634,                0.96411,                0.99184,                  0.995,                0.59212,                 1.4556,                0.67215,                 0.9556,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.1016,                0.62228,                0.86521,                0.96583,                0.98877,                  0.995,                0.64436,                 1.2667,                0.65293,                0.93738,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.0373,                0.61154,                0.86069,                0.98457,                0.99221,                0.99496,                0.64972,                 1.1169,                0.61704,                0.91872,             0.00039613,             0.00039613,             0.00039613
                     71,                 0.9984,                0.59824,                 0.8578,                0.99086,                0.98954,                0.99496,                0.63715,                 1.1049,                0.58509,                0.92002,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.0432,                0.59176,                0.86101,                0.99139,                0.99123,                0.99487,                0.62708,                 1.1925,                0.58857,                0.92602,             0.00037138,             0.00037138,             0.00037138
                     73,                0.97444,                0.59453,                0.85657,                0.99035,                0.99087,                0.99475,                0.57726,                 1.2977,                0.61195,                0.93895,               0.000359,               0.000359,               0.000359
                     74,                 1.0248,                0.59102,                0.85805,                0.98636,                0.99493,                0.99487,                0.62288,                 1.1551,                0.57028,                 0.9229,             0.00034663,             0.00034663,             0.00034663
                     75,                0.99675,                0.57918,                 0.8527,                0.98513,                0.99672,                0.99487,                0.65233,                 1.0756,                0.53368,                0.91426,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.0005,                0.58075,                0.85597,                0.98648,                0.98354,                0.99496,                0.66189,                 1.0787,                0.54424,                0.91665,             0.00032188,             0.00032188,             0.00032188
                     77,                0.97344,                0.59067,                0.87275,                0.98167,                0.98466,                0.99496,                0.66394,                 1.0529,                0.56424,                0.91234,              0.0003095,              0.0003095,              0.0003095
                     78,                0.94669,                0.56779,                 0.8526,                0.98495,                0.99697,                  0.995,                0.66765,                 1.0661,                0.54944,                0.91405,             0.00029713,             0.00029713,             0.00029713
                     79,                0.93525,                0.56983,                0.84874,                0.98911,                 0.9965,                  0.995,                0.67513,                 1.0414,                0.52678,                 0.9089,             0.00028475,             0.00028475,             0.00028475
                     80,                0.91682,                0.55531,                0.85164,                0.98548,                      1,                0.99496,                 0.6846,                 1.0052,                0.53734,                0.90448,             0.00027237,             0.00027237,             0.00027237
                     81,                0.94157,                0.55741,                0.85601,                0.98226,                0.99757,                0.99496,                0.68385,                 1.0282,                0.53757,                 0.9068,                0.00026,                0.00026,                0.00026
                     82,                0.93148,                0.56097,                0.85126,                0.98727,                0.99293,                  0.995,                0.66082,                 1.1086,                0.53544,                 0.9138,             0.00024762,             0.00024762,             0.00024762
                     83,                0.93555,                0.55617,                0.85528,                0.98418,                0.99712,                  0.995,                0.64407,                 1.1793,                0.55711,                0.92395,             0.00023525,             0.00023525,             0.00023525
                     84,                0.93571,                 0.5641,                0.85959,                0.98333,                 0.9971,                  0.995,                0.67552,                   1.09,                0.55241,                0.91257,             0.00022288,             0.00022288,             0.00022288
                     85,                0.92051,                 0.5628,                0.85515,                0.98849,                0.99428,                  0.995,                0.67774,                 1.0599,                0.53774,                0.90621,              0.0002105,              0.0002105,              0.0002105
                     86,                0.89934,                0.54625,                0.86028,                0.98131,                0.99824,                  0.995,                0.68694,                 1.0219,                0.52067,                0.90182,             0.00019813,             0.00019813,             0.00019813
                     87,                0.90568,                0.54115,                0.84556,                0.97445,                0.99963,                  0.995,                0.69249,                 1.0624,                0.53924,                0.90613,             0.00018575,             0.00018575,             0.00018575
                     88,                0.90958,                0.54877,                0.85242,                0.97153,                      1,                  0.995,                0.66443,                 1.1337,                0.55119,                0.91643,             0.00017338,             0.00017338,             0.00017338
                     89,                0.91827,                 0.5404,                0.84541,                0.96388,                0.99988,                  0.995,                0.66518,                 1.1526,                0.54323,                0.91848,               0.000161,               0.000161,               0.000161
                     90,                0.92569,                0.54657,                 0.8396,                 0.9641,                0.99804,                  0.995,                0.68407,                 1.0903,                0.52996,                0.91154,             0.00014862,             0.00014862,             0.00014862
                     91,                0.91537,                0.56761,                0.85209,                0.96436,                0.99565,                  0.995,                0.68121,                 1.0318,                0.52303,                0.90323,             0.00013625,             0.00013625,             0.00013625
                     92,                 0.8608,                0.54118,                0.85698,                 0.9756,                0.99743,                  0.995,                0.67877,                 1.0189,                0.52076,                0.90071,             0.00012387,             0.00012387,             0.00012387
                     93,                0.88161,                0.53367,                0.84971,                0.98109,                0.99805,                  0.995,                0.68733,                 1.0267,                0.52275,                0.90206,              0.0001115,              0.0001115,              0.0001115
                     94,                0.87733,                0.52822,                0.86291,                0.98364,                      1,                  0.995,                0.69295,                 1.0282,                0.52083,                0.90433,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.85873,                0.52214,                0.85498,                0.98437,                0.99706,                  0.995,                0.70489,                 1.0377,                0.52615,                0.90593,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.82845,                0.50736,                0.84672,                 0.9842,                0.99602,                  0.995,                0.69386,                 1.0462,                0.52539,                0.90663,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.84118,                0.51319,                 0.8474,                0.98523,                0.99532,                  0.995,                0.68558,                 1.0481,                0.52739,                0.90589,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.80664,                0.50375,                0.84019,                0.98474,                  0.996,                  0.995,                0.69239,                 1.0433,                0.52356,                0.90395,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.84493,                0.50823,                0.84805,                0.98399,                0.99665,                  0.995,                0.69692,                 1.0362,                0.52057,                0.90259,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.83859,                0.50461,                0.84157,                0.98357,                0.99744,                  0.995,                0.69519,                 1.0381,                0.51917,                0.90351,             2.4875e-05,             2.4875e-05,             2.4875e-05
